temperature,sales
29.2,623
16.7,340
32.1,595
12.6,157
22.7,488
25.2,510
10.8,238
26.3,594
16.6,254
10.2,155
34.2,669
14.7,250
38.7,762
12.9,276
35.4,635
31.9,582
26.1,570
26.6,523
34.9,624
27.3,478
31.1,656
18.7,384
12.4,250
18.3,388
29.1,550
16.3,362
18.0,426
28.3,537
15.1,298
21.4,398
39.7,753
30.5,560
35.3,711
11.0,184
19.5,386
38.3,800
36.3,697
21.9,505
37.4,710
17.4,358
26.8,530
36.9,804
22.0,473
25.3,676
12.7,277
28.8,583
33.8,660
21.4,436
39.9,667
35.8,691
10.3,192
26.1,447
18.0,344
23.0,441
23.6,569
17.9,328
25.0,547
36.1,821
19.0,335
14.6,239
32.9,573
25.9,496
10.0,195
37.9,766
36.4,749
11.7,196
36.3,745
24.6,485
12.1,247
13.9,192
24.3,448
36.2,711
22.7,468
31.9,698
16.0,258
29.5,741
23.1,436
16.7,331
20.1,371
16.6,312
12.1,217
37.2,717
35.8,749
30.1,617
16.4,406
27.1,628
24.2,503
15.7,225
12.9,210
24.0,502
31.9,571
13.0,132
22.1,389
17.5,434
15.7,264
18.4,384
17.5,397
35.8,690
26.5,710
35.1,761
39.1,868
15.0,256
24.6,503
11.8,285
21.4,467
33.5,666
23.7,362
39.9,856
26.7,528
18.9,349
39.1,727
32.4,618
11.7,182
35.6,682
14.7,313
15.6,307
27.9,541
13.6,239
36.7,735
28.6,639
22.6,399
38.0,729
16.1,314
21.9,401
30.2,590
32.6,693
12.2,70
39.9,844
12.2,253
38.0,798
36.4,762
14.7,260
35.0,680
39.6,726
29.6,684
19.0,384
29.9,622
13.5,259
13.2,226
28.1,548
31.5,650
17.9,425
24.7,574
12.8,201
22.7,453
33.1,666
29.1,575
26.6,613
22.8,475
36.5,731
37.1,651
27.5,523
14.4,317
37.0,770
33.9,746
16.3,243
17.5,419
36.5,782
22.2,422
37.9,738
35.9,808
36.4,714
10.7,210
37.9,713
34.1,741
18.0,291
33.6,750
35.8,779
16.7,356
19.2,333
33.9,679
15.8,326
19.8,481
18.4,269
29.2,470
26.1,605
38.2,863
15.4,395
38.9,775
23.0,483
31.9,611
25.3,568
21.6,398
31.3,608
10.1,257
31.6,603
32.3,623
12.1,200
29.9,577
35.4,746
31.6,618
22.3,486
22.1,434
22.6,477
38.2,716
28.5,473
19.0,378
18.6,371
22.9,394
23.9,442
23.3,478
37.0,795
33.9,688
25.5,528
29.0,532
32.5,729
30.2,609
10.7,246
17.3,249
12.2,259
22.4,425
30.9,594
24.8,498
10.2,276
32.5,652
22.8,432
15.3,364
11.5,214
17.5,381
34.0,634
30.0,667
38.5,764
36.7,673
25.1,450
34.9,596
32.3,614
24.2,481
29.1,619
33.0,590
18.2,354
12.3,237
19.6,430
26.2,547
30.8,643
31.2,671
26.3,546
22.5,463
37.1,792
27.5,516
33.0,567
21.4,474
32.6,653
35.6,761
32.4,632
26.4,499
16.6,310
23.1,506
30.4,616
22.1,470
13.8,324
28.7,623
26.9,546
10.8,199
23.9,456
11.5,204
19.8,419
32.8,595
35.0,757
17.6,360
26.2,528
40.0,757
33.4,726
29.6,595
16.0,197
10.6,226
30.1,623
26.9,553
33.0,735
15.0,235
13.4,216
34.6,715
10.8,210
