label,review
1,"진짜 내 인생 영화입니다. 영상미랑 음악이 미쳤어요."
1,"배우들 연기력이 장난 아니네요. 몰입감 최고였습니다."
0,"시간 아까워요. 돈 내고 보기에는 너무 아깝습니다."
0,"개연성이 하나도 없어서 보는 내내 어이가 없었네요."
1,"가족들이랑 보기 딱 좋은 따뜻한 영화입니다. 강추!"
0,"기대가 너무 컸나 봐요. 지루해서 중간에 졸았습니다."
1,"간만에 가슴이 웅클해지는 작품을 만났네요. 또 보고 싶어요."
0,"감독의 의도를 전혀 모르겠음. 불친절한 영화의 끝판왕."
1,"스토리가 탄탄해서 끝까지 긴장을 놓을 수 없었습니다."
0,"액션은 화려한데 알맹이가 없네요. 팝콘 무비 그 이상도 아님."
1,"원작보다 훨씬 잘 만든 것 같아요. 연출이 신의 한 수!"
0,"주인공 캐릭터가 너무 비호감이라 감정 이입이 안 됨."
1,"이런 소재를 이렇게 풀어내다니 천재적인 것 같습니다."
0,"예고편이 전부인 영화네요. 낚인 기분이라 불쾌합니다."
1,"잔잔한 여운이 오래 남는 수작입니다. 혼자 보기 좋아요."
0,"편집이 너무 난잡해서 정신이 하나도 없었습니다."
1,"음악만으로도 티켓값 충분히 한다고 생각합니다. 귀가 즐겁네요."
0,"억지 신파 때문에 거부감이 드네요. 억지로 울리려고 작정한 듯."
1,"결말이 소름 돋을 정도로 완벽했습니다. 여운이 가시질 않아요."
0,"러닝타임이 너무 길어요. 1시간으로 줄였어도 충분했을 내용."
1,"시나리오가 정말 치밀하네요. 복선 회수 대박입니다."
0,"어색한 CG 때문에 몰입이 다 깨지네요. 기술력이 아쉽습니다."
1,"철학적인 메시지가 담겨 있어 생각할 거리를 많이 주는 영화입니다."
0,"대사가 너무 오글거려서 끝까지 보기 힘들었습니다."
1,"유머 코드가 저랑 너무 잘 맞아서 배꼽 빠지게 웃었네요."
0,"전편에 비해 너무 실망스럽습니다. 형보다 나은 아우는 없네요."
1,"영상미가 예술입니다. 한 장면 한 장면이 다 화보 같네요."
0,"조연들의 연기가 너무 어설퍼서 극의 흐름을 다 끊어먹음."
1,"마지막 장면은 영화 역사에 남을 명장면이라고 생각합니다."
0,"개연성 파괴의 향연. 작가가 무슨 생각으로 썼는지 궁금함."
1,"가슴 시린 로맨스... 오랜만에 눈물 콧물 다 짰습니다."
0,"공포 영화라더니 하나도 안 무섭고 하품만 나옵니다."
1,"시대상을 정말 잘 반영했네요. 고증이 완벽합니다."
0,"너무 뻔한 스토리. 10분만 봐도 결말이 다 예상됨."
1,"독창적인 세계관이 인상적입니다. 후속작이 기대되네요."
0,"사운드가 너무 커서 귀만 아프고 정신없음. 연출 미스인 듯."
1,"아이들과 함께 봤는데 교육적이고 재미도 있네요."
0,"주제의식은 좋은데 전달 방식이 너무 투박하고 촌스러움."
1,"가슴이 벅차오르는 감동을 느꼈습니다. 올 하반기 최고의 영화!"
0,"유명세에 비해 별로네요. 역시 평론가 평점은 믿을 게 못 됨."
1,"반전의 반전! 정말 뒤통수 제대로 맞았습니다."
0,"기본기가 부족한 영화. 컷 연결조차 매끄럽지 않음."
1,"소소한 일상의 행복을 느끼게 해주는 예쁜 영화입니다."
0,"악당이 너무 허무하게 무너지네요. 긴장감이 전혀 없음."
1,"다큐멘터리 형식이 신선하고 몰입도가 높았습니다."
0,"종교적인 색채가 너무 강해서 거부감이 느껴졌습니다."
1,"인간의 본성을 적나라하게 보여주는 수작입니다."
0,"초반에는 좋았는데 뒤로 갈수록 힘이 빠지는 느낌."
1,"배우들의 케미가 너무 좋아서 보는 내내 흐뭇했습니다."
0,"번역이 매끄럽지 않아서 대사 이해가 안 되는 부분이 많음."
1,"꿈꾸는 듯한 몽환적인 분위기가 너무 좋았습니다."
0,"잔인하기만 하고 불쾌한 영화. 예술이라고 포장하지 마세요."
1,"진정한 용기가 무엇인지 알려주는 따뜻한 성장 드라마."
0,"개그 캐릭터가 너무 과해서 짜증만 납니다."
1,"공간 배경이 한정적인데도 긴장감을 끝까지 유지하네요."
0,"돈 아까운 줄 아세요. 이런 걸 영화라고 만들다니."
1,"깊은 고독과 슬픔이 느껴지는 영화. 연기력이 살렸네요."
0,"스토리가 중구난방이라 뭘 말하고 싶은 건지 모르겠음."
1,"화려한 영상 속에 묵직한 메시지가 숨어 있습니다."
0,"포스터에 낚였습니다. 스릴러라더니 지루한 드라마임."
1,"사랑의 본질을 다시 생각하게 만드는 영화입니다."
0,"너무 자극적이기만 하고 남는 게 하나도 없네요."
1,"예술 영화의 정수. 상업성과 예술성을 다 잡은 듯."
0,"연기 구멍이 너무 많아서 집중이 안 됩니다."
1,"가슴이 따뜻해지는 기적 같은 이야기입니다."
0,"결말이 너무 허무함. 떡밥만 던지고 회수를 안 함."
1,"현실적인 연애담이라 공감이 많이 갔습니다."
0,"신파극의 전형. 이제는 이런 감성 지겹습니다."
1,"영화를 보는 내내 여행을 떠난 기분이었습니다."
0,"감독의 자기복제. 이전 작품들과 다른 게 전혀 없음."
1,"정말 숨 막히는 서스펜스! 심장이 쫄깃해졌습니다."
0,"아이들 보여주기에도 민망한 수준의 저질 유머."
1,"삶의 의미를 되새기게 하는 철학적인 영화."
0,"동화 같은 이야기라기엔 너무 유치함."
1,"세련된 감각과 트렌디한 연출이 돋보입니다."
0,"음악이 너무 과해서 대사가 안 들릴 정도입니다."
1,"우정의 소중함을 일깨워주는 유쾌한 영화."
0,"캐스팅이 아깝다. 이 배우들을 데리고 이것밖에 못 만드나."
1,"몰입감이 엄청나서 2시간이 10분처럼 지나갔어요."
0,"역사 왜곡이 너무 심해서 보는 내내 불편했습니다."
1,"실화라서 더 감동적이고 믿기지 않는 이야기."
0,"너무 난해함. 지식인들만 보라는 건가요?"
1,"통쾌한 복수극! 스트레스가 확 풀리네요."
0,"전개가 너무 느려서 속 터지는 줄 알았습니다."
1,"소장하고 싶은 영화입니다. 블루레이 나오면 꼭 살 거예요."
0,"뻔하디 뻔한 권선징악. 반전 하나쯤은 넣어주지."
1,"아름다운 영상미와 서정적인 대사가 일품입니다."
0,"정신없는 카메라 워킹 때문에 멀미 날 뻔했습니다."
1,"누구나 공감할 수 있는 청춘들의 성장통."
0,"설정이 구멍투성이임. 앞뒤가 하나도 안 맞음."
1,"가슴 아픈 역사적 사실을 담담하게 잘 그려냈습니다."
0,"공포라기보다 그냥 징그러운 영화. 기분만 잡쳤네요."
1,"독특한 연출 기법이 눈길을 사로잡네요. 신선합니다."
0,"주인공의 선택을 도저히 이해할 수 없습니다. 고구마 먹은 듯."
1,"작은 영화의 힘을 보여주는 아름다운 작품입니다."
0,"홍보가 과했네요. 막상 까보니 볼 거 없는 영화."
1,"긴 여운 속에서 인생을 돌아보게 만드네요."
0,"중국 자본 냄새가 너무 심함. 흐름을 방해하는 PPL."
1,"완벽한 연기, 완벽한 연출, 완벽한 시나리오."
0,"꿈도 희망도 없는 우울한 영화. 보고 나니 기운 빠짐."
