sentence,label
오늘 전혀 슬퍼요,0
공부 진짜 멋져요,1
음악 진짜 좋아요,1
음악 진짜 추천해요,1
밥 매우 재밌어요,1
여행 안 좋아요,0
음악 안 행복해요,0
영화 안 최고예요,0
영화 정말 행복해요,1
인공지능 항상 힘들어요,0
영화 너무 행복해요,1
음악 안 행복해요,0
날씨 안 즐거워요,0
날씨 무척 행복해요,1
밥 항상 슬퍼요,0
여행 항상 슬퍼요,0
밥 진짜 행복해요,1
친구 진짜 최고예요,1
오늘 안 최고예요,0
여행 무척 좋아요,1
친구 전혀 우울해요,0
영화 항상 우울해요,0
날씨 별로 싫어요,0
강아지 너무 멋져요,1
날씨 너무 멋져요,1
여행 진짜 재밌어요,1
여행 전혀 싫어요,0
음악 안 재밌어요,0
오늘 조금 싫어요,0
밥 매우 추천해요,1
강아지 매우 재밌어요,1
음악 진짜 재밌어요,1
밥 무척 추천해요,1
오늘 항상 힘들어요,0
친구 진짜 좋아요,1
인공지능 항상 즐거워요,1
인공지능 매우 재밌어요,1
여행 진짜 행복해요,1
여행 진짜 재밌어요,1
오늘 진짜 최고예요,1
친구 안 추천해요,0
영화 조금 어려워요,0
친구 별로 피곤해요,0
공부 전혀 힘들어요,0
영화 무척 멋져요,1
강아지 정말 즐거워요,1
영화 조금 피곤해요,0
영화 무척 행복해요,1
음악 진짜 행복해요,1
밥 안 최고예요,0
영화 너무 재밌어요,1
강아지 무척 재밌어요,1
여행 정말 행복해요,1
음악 무척 추천해요,1
공부 너무 싫어요,0
음악 안 멋져요,0
강아지 조금 어려워요,0
인공지능 별로 우울해요,0
영화 조금 별로예요,0
오늘 진짜 좋아요,1
인공지능 정말 최고예요,1
영화 안 멋져요,0
오늘 별로 어려워요,0
날씨 항상 힘들어요,0
친구 정말 재밌어요,1
음악 매우 즐거워요,1
영화 정말 행복해요,1
날씨 너무 좋아요,1
공부 안 즐거워요,0
인공지능 안 좋아요,0
인공지능 안 행복해요,0
영화 전혀 어려워요,0
공부 항상 재밌어요,1
음악 항상 즐거워요,1
밥 안 즐거워요,0
친구 안 최고예요,0
인공지능 항상 즐거워요,1
강아지 진짜 추천해요,1
오늘 전혀 우울해요,0
날씨 조금 슬퍼요,0
영화 너무 최고예요,1
인공지능 정말 추천해요,1
오늘 진짜 즐거워요,1
공부 진짜 즐거워요,1
밥 항상 싫어요,0
공부 정말 행복해요,1
친구 별로 피곤해요,0
밥 진짜 멋져요,1
음악 매우 최고예요,1
인공지능 조금 피곤해요,0
영화 정말 멋져요,1
영화 안 행복해요,0
밥 무척 최고예요,1
강아지 너무 즐거워요,1
음악 무척 멋져요,1
인공지능 항상 피곤해요,0
오늘 항상 우울해요,0
오늘 항상 재밌어요,1
음악 정말 좋아요,1
여행 항상 멋져요,1
음악 항상 재밌어요,1
날씨 진짜 즐거워요,1
인공지능 항상 멋져요,1
공부 매우 즐거워요,1
밥 무척 멋져요,1
오늘 매우 최고예요,1
강아지 별로 피곤해요,0
강아지 항상 어려워요,0
영화 매우 최고예요,1
영화 별로 싫어요,0
음악 너무 힘들어요,0
음악 너무 슬퍼요,0
강아지 너무 멋져요,1
인공지능 안 재밌어요,0
날씨 별로 슬퍼요,0
영화 별로 슬퍼요,0
음악 진짜 멋져요,1
영화 항상 별로예요,0
음악 정말 멋져요,1
오늘 조금 별로예요,0
공부 안 멋져요,0
친구 너무 힘들어요,0
영화 전혀 힘들어요,0
공부 너무 슬퍼요,0
친구 전혀 피곤해요,0
친구 정말 즐거워요,1
오늘 정말 즐거워요,1
오늘 항상 추천해요,1
인공지능 진짜 최고예요,1
밥 진짜 즐거워요,1
강아지 안 즐거워요,0
인공지능 항상 별로예요,0
친구 매우 최고예요,1
날씨 안 즐거워요,0
밥 항상 피곤해요,0
친구 너무 즐거워요,1
오늘 정말 좋아요,1
친구 별로 슬퍼요,0
여행 항상 최고예요,1
강아지 매우 행복해요,1
오늘 항상 행복해요,1
오늘 무척 재밌어요,1
음악 정말 행복해요,1
공부 무척 멋져요,1
영화 항상 별로예요,0
공부 안 최고예요,0
인공지능 너무 우울해요,0
밥 안 즐거워요,0
공부 안 최고예요,0
밥 안 최고예요,0
밥 무척 행복해요,1
음악 무척 행복해요,1
여행 전혀 우울해요,0
강아지 안 추천해요,0
음악 전혀 우울해요,0
공부 안 추천해요,0
오늘 진짜 최고예요,1
강아지 무척 최고예요,1
음악 매우 재밌어요,1
날씨 정말 멋져요,1
음악 너무 좋아요,1
오늘 너무 우울해요,0
인공지능 정말 행복해요,1
인공지능 진짜 추천해요,1
친구 너무 힘들어요,0
음악 무척 최고예요,1
공부 조금 싫어요,0
밥 너무 힘들어요,0
인공지능 안 좋아요,0
공부 정말 재밌어요,1
강아지 무척 추천해요,1
음악 매우 행복해요,1
친구 별로 슬퍼요,0
강아지 정말 재밌어요,1
음악 정말 추천해요,1
밥 정말 멋져요,1
오늘 너무 우울해요,0
인공지능 매우 추천해요,1
강아지 항상 최고예요,1
공부 항상 좋아요,1
음악 너무 재밌어요,1
음악 진짜 재밌어요,1
강아지 별로 어려워요,0
여행 정말 멋져요,1
오늘 너무 별로예요,0
인공지능 안 행복해요,0
공부 항상 슬퍼요,0
여행 항상 최고예요,1
오늘 너무 피곤해요,0
친구 너무 피곤해요,0
날씨 너무 멋져요,1
영화 전혀 별로예요,0
공부 매우 최고예요,1
음악 항상 좋아요,1
공부 진짜 멋져요,1
날씨 안 행복해요,0
여행 매우 좋아요,1
공부 너무 행복해요,1
강아지 매우 재밌어요,1
친구 정말 추천해요,1
공부 항상 어려워요,0
친구 진짜 좋아요,1
인공지능 너무 싫어요,0
음악 항상 좋아요,1
영화 진짜 좋아요,1
여행 조금 슬퍼요,0
여행 너무 힘들어요,0
영화 무척 최고예요,1
인공지능 너무 우울해요,0
오늘 너무 피곤해요,0
여행 너무 멋져요,1
날씨 진짜 좋아요,1
오늘 진짜 좋아요,1
강아지 정말 좋아요,1
인공지능 무척 즐거워요,1
여행 항상 별로예요,0
공부 조금 어려워요,0
여행 항상 힘들어요,0
밥 항상 우울해요,0
공부 진짜 행복해요,1
인공지능 매우 재밌어요,1
인공지능 무척 재밌어요,1
인공지능 매우 최고예요,1
날씨 매우 멋져요,1
음악 안 재밌어요,0
강아지 진짜 멋져요,1
인공지능 무척 재밌어요,1
밥 안 멋져요,0
여행 항상 좋아요,1
친구 진짜 추천해요,1
인공지능 너무 좋아요,1
오늘 안 최고예요,0
밥 무척 재밌어요,1
인공지능 너무 재밌어요,1
친구 정말 멋져요,1
음악 무척 행복해요,1
인공지능 무척 추천해요,1
영화 너무 멋져요,1
공부 매우 재밌어요,1
음악 항상 추천해요,1
친구 전혀 별로예요,0
음악 조금 싫어요,0
여행 안 최고예요,0
공부 진짜 추천해요,1
오늘 항상 피곤해요,0
공부 항상 어려워요,0
오늘 전혀 우울해요,0
친구 안 행복해요,0
공부 너무 우울해요,0
영화 조금 싫어요,0
오늘 진짜 행복해요,1
날씨 전혀 힘들어요,0
날씨 전혀 별로예요,0
날씨 너무 싫어요,0
여행 별로 힘들어요,0
공부 정말 재밌어요,1
친구 항상 우울해요,0
인공지능 전혀 슬퍼요,0
밥 매우 멋져요,1
음악 무척 재밌어요,1
음악 너무 최고예요,1
인공지능 안 추천해요,0
강아지 무척 멋져요,1
영화 별로 힘들어요,0
여행 안 재밌어요,0
공부 조금 어려워요,0
여행 항상 싫어요,0
밥 너무 어려워요,0
날씨 항상 슬퍼요,0
날씨 항상 즐거워요,1
강아지 정말 재밌어요,1
공부 별로 어려워요,0
오늘 너무 별로예요,0
날씨 항상 힘들어요,0
오늘 조금 슬퍼요,0
밥 항상 추천해요,1
음악 조금 슬퍼요,0
음악 진짜 멋져요,1
여행 진짜 행복해요,1
강아지 너무 어려워요,0
친구 정말 행복해요,1
인공지능 항상 재밌어요,1
음악 정말 재밌어요,1
오늘 진짜 좋아요,1
여행 별로 싫어요,0
영화 안 즐거워요,0
여행 정말 추천해요,1
날씨 항상 싫어요,0
강아지 전혀 싫어요,0
영화 안 멋져요,0
강아지 전혀 슬퍼요,0
음악 정말 즐거워요,1
오늘 조금 피곤해요,0
오늘 전혀 별로예요,0
밥 무척 즐거워요,1
밥 안 최고예요,0
여행 진짜 멋져요,1
여행 전혀 슬퍼요,0
오늘 안 멋져요,0
밥 전혀 어려워요,0
오늘 너무 멋져요,1
공부 매우 즐거워요,1
인공지능 전혀 싫어요,0
여행 너무 추천해요,1
친구 항상 행복해요,1
인공지능 진짜 즐거워요,1
강아지 항상 최고예요,1
영화 정말 행복해요,1
여행 조금 별로예요,0
음악 진짜 추천해요,1
날씨 조금 우울해요,0
날씨 항상 싫어요,0
강아지 무척 행복해요,1
오늘 너무 별로예요,0
강아지 너무 별로예요,0
공부 항상 추천해요,1
영화 별로 별로예요,0
인공지능 무척 최고예요,1
음악 전혀 별로예요,0
음악 항상 멋져요,1
밥 항상 좋아요,1
인공지능 너무 피곤해요,0
여행 안 재밌어요,0
음악 너무 싫어요,0
날씨 항상 행복해요,1
영화 너무 멋져요,1
여행 너무 즐거워요,1
영화 항상 별로예요,0
친구 항상 최고예요,1
여행 항상 어려워요,0
음악 안 멋져요,0
친구 안 행복해요,0
여행 매우 멋져요,1
여행 정말 최고예요,1
오늘 매우 즐거워요,1
인공지능 안 최고예요,0
밥 항상 피곤해요,0
공부 안 좋아요,0
밥 별로 어려워요,0
친구 별로 싫어요,0
강아지 진짜 재밌어요,1
인공지능 안 추천해요,0
영화 안 멋져요,0
공부 정말 최고예요,1
음악 너무 슬퍼요,0
음악 무척 최고예요,1
밥 안 재밌어요,0
강아지 진짜 행복해요,1
밥 너무 별로예요,0
강아지 정말 즐거워요,1
음악 전혀 별로예요,0
인공지능 전혀 어려워요,0
친구 안 멋져요,0
밥 너무 최고예요,1
친구 별로 어려워요,0
음악 항상 추천해요,1
인공지능 안 최고예요,0
밥 매우 행복해요,1
여행 정말 좋아요,1
날씨 정말 멋져요,1
여행 안 추천해요,0
인공지능 진짜 최고예요,1
오늘 조금 피곤해요,0
인공지능 진짜 멋져요,1
여행 항상 최고예요,1
날씨 항상 즐거워요,1
영화 안 멋져요,0
여행 너무 재밌어요,1
음악 조금 힘들어요,0
오늘 항상 최고예요,1
밥 매우 최고예요,1
오늘 매우 좋아요,1
음악 무척 행복해요,1
밥 매우 행복해요,1
인공지능 안 즐거워요,0
여행 항상 우울해요,0
인공지능 진짜 행복해요,1
여행 안 추천해요,0
음악 안 행복해요,0
친구 항상 멋져요,1
밥 매우 재밌어요,1
인공지능 너무 힘들어요,0
날씨 항상 피곤해요,0
영화 무척 추천해요,1
친구 항상 추천해요,1
밥 별로 싫어요,0
날씨 너무 멋져요,1
밥 별로 힘들어요,0
강아지 매우 좋아요,1
음악 무척 멋져요,1
강아지 너무 최고예요,1
밥 항상 싫어요,0
강아지 안 멋져요,0
인공지능 안 좋아요,0
밥 너무 추천해요,1
인공지능 안 재밌어요,0
인공지능 안 행복해요,0
오늘 매우 행복해요,1
강아지 진짜 재밌어요,1
날씨 너무 재밌어요,1
인공지능 너무 추천해요,1
여행 너무 행복해요,1
날씨 진짜 재밌어요,1
오늘 전혀 어려워요,0
날씨 안 재밌어요,0
밥 정말 즐거워요,1
인공지능 조금 피곤해요,0
공부 정말 즐거워요,1
강아지 무척 최고예요,1
오늘 항상 어려워요,0
음악 너무 행복해요,1
날씨 정말 행복해요,1
밥 항상 우울해요,0
인공지능 정말 행복해요,1
여행 진짜 좋아요,1
날씨 항상 즐거워요,1
여행 안 즐거워요,0
음악 항상 어려워요,0
오늘 매우 최고예요,1
인공지능 안 멋져요,0
강아지 너무 좋아요,1
강아지 너무 어려워요,0
음악 안 재밌어요,0
오늘 진짜 최고예요,1
강아지 매우 추천해요,1
친구 항상 즐거워요,1
여행 전혀 어려워요,0
공부 너무 추천해요,1
음악 항상 어려워요,0
오늘 너무 어려워요,0
공부 진짜 멋져요,1
공부 정말 최고예요,1
밥 무척 좋아요,1
날씨 진짜 최고예요,1
오늘 무척 최고예요,1
밥 너무 최고예요,1
강아지 조금 어려워요,0
강아지 항상 즐거워요,1
여행 항상 별로예요,0
친구 무척 추천해요,1
음악 매우 재밌어요,1
여행 정말 좋아요,1
친구 안 최고예요,0
영화 안 좋아요,0
음악 안 행복해요,0
영화 항상 싫어요,0
인공지능 진짜 행복해요,1
밥 무척 추천해요,1
오늘 무척 즐거워요,1
인공지능 무척 즐거워요,1
공부 진짜 멋져요,1
날씨 항상 좋아요,1
공부 안 좋아요,0
영화 정말 멋져요,1
음악 무척 멋져요,1
영화 항상 힘들어요,0
음악 매우 최고예요,1
인공지능 항상 멋져요,1
강아지 정말 즐거워요,1
